packages/native/npm/darwin-arm64         |  WARN  Unsupported platform: wanted: {"cpu":["arm64"],"os":["darwin"],"libc":["any"]} (current: {"os":"win32","cpu":"x64","libc":"unknown"})
packages/native/npm/darwin-x64           |  WARN  Unsupported platform: wanted: {"cpu":["x64"],"os":["darwin"],"libc":["any"]} (current: {"os":"win32","cpu":"x64","libc":"unknown"})
packages/native/npm/linux-arm64-gnu      |  WARN  Unsupported platform: wanted: {"cpu":["arm64"],"os":["linux"],"libc":["glibc"]} (current: {"os":"win32","cpu":"x64","libc":"unknown"})
packages/native/npm/linux-arm64-musl     |  WARN  Unsupported platform: wanted: {"cpu":["arm64"],"os":["linux"],"libc":["musl"]} (current: {"os":"win32","cpu":"x64","libc":"unknown"})
packages/native/npm/linux-x64-gnu        |  WARN  Unsupported platform: wanted: {"cpu":["x64"],"os":["linux"],"libc":["glibc"]} (current: {"os":"win32","cpu":"x64","libc":"unknown"})
packages/native/npm/linux-x64-musl       |  WARN  Unsupported platform: wanted: {"cpu":["x64"],"os":["linux"],"libc":["musl"]} (current: {"os":"win32","cpu":"x64","libc":"unknown"})
packages/verter-tsc/npm/darwin-arm64     |  WARN  Unsupported platform: wanted: {"cpu":["arm64"],"os":["darwin"],"libc":["any"]} (current: {"os":"win32","cpu":"x64","libc":"unknown"})
packages/verter-tsc/npm/darwin-x64       |  WARN  Unsupported platform: wanted: {"cpu":["x64"],"os":["darwin"],"libc":["any"]} (current: {"os":"win32","cpu":"x64","libc":"unknown"})
packages/verter-tsc/npm/linux-x64-gnu    |  WARN  Unsupported platform: wanted: {"cpu":["x64"],"os":["linux"],"libc":["glibc"]} (current: {"os":"win32","cpu":"x64","libc":"unknown"})

> @verter/benchmark@0.0.1 bench:meta:ui D:\dev\personal\verter\packages\benchmark
> node --expose-gc --import tsx src/meta-ui-bench.ts "--" "--scenarios=repo_first_pass" "--hard-timeout-ms=60000"

Benchmarking 179 nuxt-ui components from edf9af6e03aeea31d1fb5b8a1b8f2aee7cbbcfa3.
[expected] 1/179 src/runtime/components/Accordion.vue baseline-ready outcome=success latency=2700.91ms
[expected] 2/179 src/runtime/components/Alert.vue baseline-ready outcome=success latency=2389.55ms
[expected] 3/179 src/runtime/components/App.vue baseline-ready outcome=success latency=6170.55ms
[expected] 4/179 src/runtime/components/AuthForm.vue baseline-ready outcome=success latency=2563.10ms
[expected] 5/179 src/runtime/components/Avatar.vue baseline-ready outcome=success latency=2324.30ms
[expected] 6/179 src/runtime/components/AvatarGroup.vue baseline-ready outcome=success latency=2298.96ms
[expected] 7/179 src/runtime/components/Badge.vue baseline-ready outcome=success latency=2355.31ms
[expected] 8/179 src/runtime/components/Banner.vue baseline-ready outcome=success latency=2420.12ms
[expected] 9/179 src/runtime/components/BlogPost.vue baseline-ready outcome=success latency=2435.14ms
[expected] 10/179 src/runtime/components/BlogPosts.vue baseline-ready outcome=success latency=2350.94ms
[expected] 11/179 src/runtime/components/Breadcrumb.vue baseline-ready outcome=success latency=2299.15ms
[expected] 12/179 src/runtime/components/Button.vue baseline-ready outcome=success latency=2362.80ms
[expected] 13/179 src/runtime/components/Calendar.vue baseline-ready outcome=success latency=2435.18ms
[expected] 14/179 src/runtime/components/Card.vue baseline-ready outcome=success latency=2309.96ms
[expected] 15/179 src/runtime/components/Carousel.vue baseline-ready outcome=success latency=5929.25ms
[expected] 16/179 src/runtime/components/ChangelogVersion.vue baseline-ready outcome=success latency=2432.97ms
[expected] 17/179 src/runtime/components/ChangelogVersions.vue baseline-ready outcome=success latency=5248.08ms
[expected] 18/179 src/runtime/components/ChatMessage.vue baseline-ready outcome=success latency=2748.47ms
[expected] 19/179 src/runtime/components/ChatMessages.vue baseline-ready outcome=success latency=2681.60ms
[expected] 20/179 src/runtime/components/ChatPalette.vue baseline-ready outcome=success latency=2281.01ms
[expected] 21/179 src/runtime/components/ChatPrompt.vue baseline-ready outcome=success latency=4498.23ms
[expected] 22/179 src/runtime/components/ChatPromptSubmit.vue baseline-ready outcome=success latency=6172.93ms
[expected] 23/179 src/runtime/components/ChatReasoning.vue baseline-ready outcome=success latency=2394.63ms
[expected] 24/179 src/runtime/components/ChatShimmer.vue baseline-ready outcome=success latency=2306.03ms
[expected] 25/179 src/runtime/components/ChatTool.vue baseline-ready outcome=success latency=2386.24ms
[expected] 26/179 src/runtime/components/Checkbox.vue baseline-ready outcome=success latency=2329.02ms
[expected] 27/179 src/runtime/components/CheckboxGroup.vue baseline-ready outcome=success latency=2290.12ms
[expected] 28/179 src/runtime/components/Chip.vue baseline-ready outcome=success latency=2293.70ms
[expected] 29/179 src/runtime/components/Collapsible.vue baseline-ready outcome=success latency=2325.82ms
