CAUGHT-BY-NAMED-CONTROL L1_lit_str_eq | expected [literal_expectation_rejects_a_different_value] | failing [u6_flow_shape_corpus_tests::u6_flow_expect_tests::expectation_controls::literal_expectation_rejects_a_different_value, u6_flow_shape_corpus_tests::u6_flow_expect_tests::expectation_controls::signature_expectation_rejects_a_different_return, u6_flow_shape_corpus_tests::u6_flow_expect_tests::expectation_controls::union_set_equality_rejects_subset_and_superset] | Summary [   2.135s] 47 tests run: 44 passed, 3 failed, 8664 skipped
CAUGHT-BY-NAMED-CONTROL L2_lit_num_eq | expected [literal_expectation_rejects_a_different_value] | failing [u6_flow_shape_corpus_tests::u6_flow_expect_tests::expectation_controls::literal_expectation_rejects_a_different_value] | Summary [   2.133s] 47 tests run: 46 passed, 1 failed, 8664 skipped
CAUGHT-BY-NAMED-CONTROL P1_primitive_eq | expected [object_expectation_rejects_wrong_missing_extra_and_duplicate_members, signature_params_and_arity_reject_wrong_shapes] | failing [u6_flow_shape_corpus_tests::u6_flow_expect_tests::expectation_controls::signature_params_and_arity_reject_wrong_shapes, u6_flow_shape_corpus_tests::u6_flow_expect_tests::expectation_controls::object_expectation_rejects_wrong_missing_extra_and_duplicate_members] | Summary [   2.034s] 47 tests run: 45 passed, 2 failed, 8664 skipped
CAUGHT-BY-NAMED-CONTROL U1_union_len | expected [union_set_equality_rejects_subset_and_superset] | failing [u6_flow_shape_corpus_tests::u6_flow_expect_tests::expectation_controls::union_set_equality_rejects_subset_and_superset] | Summary [   2.087s] 47 tests run: 46 passed, 1 failed, 8664 skipped
CAUGHT-BY-NAMED-CONTROL U2_union_assign | expected [union_set_equality_rejects_subset_and_superset] | failing [u6_flow_shape_corpus_tests::u6_flow_expect_tests::expectation_controls::union_set_equality_rejects_subset_and_superset] | Summary [   1.995s] 47 tests run: 46 passed, 1 failed, 8664 skipped
CAUGHT-BY-NAMED-CONTROL I1_intersection_len | expected [intersection_expectation_rejects_a_wrong_arm] | failing [u6_flow_shape_corpus_tests::u6_flow_expect_tests::expectation_controls::intersection_expectation_rejects_a_wrong_arm] | Summary [   2.021s] 47 tests run: 46 passed, 1 failed, 8664 skipped
CAUGHT-BY-NAMED-CONTROL I2_intersection_order | expected [intersection_expectation_rejects_a_wrong_arm] | failing [u6_flow_shape_corpus_tests::u6_flow_expect_tests::expectation_controls::intersection_expectation_rejects_a_wrong_arm] | Summary [   2.054s] 47 tests run: 46 passed, 1 failed, 8664 skipped
CAUGHT-BY-NAMED-CONTROL S1_signature_arity | expected [signature_params_and_arity_reject_wrong_shapes] | failing [u6_flow_shape_corpus_tests::u6_flow_expect_tests::expectation_controls::signature_params_and_arity_reject_wrong_shapes] | Summary [   2.202s] 47 tests run: 46 passed, 1 failed, 8664 skipped
CAUGHT-BY-NAMED-CONTROL S2_signature_params | expected [signature_params_and_arity_reject_wrong_shapes] | failing [u6_flow_shape_corpus_tests::u6_flow_expect_tests::expectation_controls::signature_params_and_arity_reject_wrong_shapes] | Summary [   2.019s] 47 tests run: 46 passed, 1 failed, 8664 skipped
CAUGHT-BY-NAMED-CONTROL S3_signature_ret | expected [signature_expectation_rejects_a_different_return] | failing [u6_flow_shape_corpus_tests::u6_flow_expect_tests::expectation_controls::signature_expectation_rejects_a_different_return] | Summary [   2.027s] 47 tests run: 46 passed, 1 failed, 8664 skipped
CAUGHT-BY-NAMED-CONTROL O1_object_len | expected [object_expectation_rejects_wrong_missing_extra_and_duplicate_members] | failing [u6_flow_shape_corpus_tests::u6_flow_expect_tests::expectation_controls::object_expectation_rejects_wrong_missing_extra_and_duplicate_members] | Summary [   2.073s] 47 tests run: 46 passed, 1 failed, 8664 skipped
CAUGHT-BY-NAMED-CONTROL O2_object_key | expected [object_expectation_rejects_wrong_missing_extra_and_duplicate_members] | failing [u6_flow_shape_corpus_tests::u6_flow_expect_tests::expectation_controls::object_expectation_rejects_wrong_missing_extra_and_duplicate_members] | Summary [   2.077s] 47 tests run: 46 passed, 1 failed, 8664 skipped
CAUGHT-BY-NAMED-CONTROL O3_object_value | expected [object_expectation_rejects_wrong_missing_extra_and_duplicate_members] | failing [u6_flow_shape_corpus_tests::u6_flow_expect_tests::expectation_controls::object_expectation_rejects_wrong_missing_extra_and_duplicate_members, u6_flow_shape_corpus_tests::u6_flow_expect_tests::expectation_controls::opaque_unmodeled_position_marker_is_discriminating] | Summary [   2.012s] 47 tests run: 45 passed, 2 failed, 8664 skipped
CAUGHT-BY-NAMED-CONTROL O4_object_injective | expected [object_expectation_rejects_wrong_missing_extra_and_duplicate_members] | failing [u6_flow_shape_corpus_tests::u6_flow_expect_tests::expectation_controls::object_expectation_rejects_wrong_missing_extra_and_duplicate_members] | Summary [   2.031s] 47 tests run: 46 passed, 1 failed, 8664 skipped
CAUGHT-BY-NAMED-CONTROL T1_type_param_name | expected [type_param_expectation_rejects_a_wrong_name] | failing [u6_flow_shape_corpus_tests::u6_flow_expect_tests::expectation_controls::type_param_expectation_rejects_a_wrong_name] | Summary [   2.126s] 47 tests run: 46 passed, 1 failed, 8664 skipped
CAUGHT-BY-NAMED-CONTROL R1_decl_ref_name | expected [intersection_expectation_rejects_a_wrong_arm] | failing [u6_flow_shape_corpus_tests::u6_flow_expect_tests::expectation_controls::intersection_expectation_rejects_a_wrong_arm] | Summary [   2.193s] 47 tests run: 46 passed, 1 failed, 8664 skipped
CAUGHT-BY-NAMED-CONTROL BR1_bare_ref_name | expected [bare_ref_expectation_rejects_a_wrong_name] | failing [u6_flow_shape_corpus_tests::u6_flow_expect_tests::expectation_controls::bare_ref_expectation_rejects_a_wrong_name] | Summary [   2.024s] 47 tests run: 46 passed, 1 failed, 8664 skipped
CAUGHT-BY-NAMED-CONTROL OP1_opaque_broaden | expected [opaque_unmodeled_position_marker_is_discriminating] | failing [u6_flow_shape_corpus_tests::u6_flow_expect_tests::expectation_controls::opaque_unmodeled_position_marker_is_discriminating] | Summary [   1.989s] 47 tests run: 46 passed, 1 failed, 8664 skipped
