invocation	wall_ns	peak_rss_bytes	compile_calls	artifact_count	output_digest
1	400209	6340608	8	8	577f62e3ba72dcf39cd56d62285372b249752be1c1b8c3bedf02e70070446131
2	380250	6307840	8	8	577f62e3ba72dcf39cd56d62285372b249752be1c1b8c3bedf02e70070446131
3	368417	6373376	8	8	577f62e3ba72dcf39cd56d62285372b249752be1c1b8c3bedf02e70070446131
4	391792	6406144	8	8	577f62e3ba72dcf39cd56d62285372b249752be1c1b8c3bedf02e70070446131
5	438125	6389760	8	8	577f62e3ba72dcf39cd56d62285372b249752be1c1b8c3bedf02e70070446131
6	365667	6307840	8	8	577f62e3ba72dcf39cd56d62285372b249752be1c1b8c3bedf02e70070446131
7	365167	6324224	8	8	577f62e3ba72dcf39cd56d62285372b249752be1c1b8c3bedf02e70070446131
8	359583	6324224	8	8	577f62e3ba72dcf39cd56d62285372b249752be1c1b8c3bedf02e70070446131
9	369500	6389760	8	8	577f62e3ba72dcf39cd56d62285372b249752be1c1b8c3bedf02e70070446131
10	367208	6356992	8	8	577f62e3ba72dcf39cd56d62285372b249752be1c1b8c3bedf02e70070446131
11	401041	6373376	8	8	577f62e3ba72dcf39cd56d62285372b249752be1c1b8c3bedf02e70070446131
12	361625	6307840	8	8	577f62e3ba72dcf39cd56d62285372b249752be1c1b8c3bedf02e70070446131
13	358209	6307840	8	8	577f62e3ba72dcf39cd56d62285372b249752be1c1b8c3bedf02e70070446131
14	360458	6307840	8	8	577f62e3ba72dcf39cd56d62285372b249752be1c1b8c3bedf02e70070446131
15	364416	6373376	8	8	577f62e3ba72dcf39cd56d62285372b249752be1c1b8c3bedf02e70070446131
16	366000	6340608	8	8	577f62e3ba72dcf39cd56d62285372b249752be1c1b8c3bedf02e70070446131
17	358291	6291456	8	8	577f62e3ba72dcf39cd56d62285372b249752be1c1b8c3bedf02e70070446131
18	369458	6373376	8	8	577f62e3ba72dcf39cd56d62285372b249752be1c1b8c3bedf02e70070446131
19	410333	6406144	8	8	577f62e3ba72dcf39cd56d62285372b249752be1c1b8c3bedf02e70070446131
20	396375	6389760	8	8	577f62e3ba72dcf39cd56d62285372b249752be1c1b8c3bedf02e70070446131
21	401375	6406144	8	8	577f62e3ba72dcf39cd56d62285372b249752be1c1b8c3bedf02e70070446131
22	353042	6307840	8	8	577f62e3ba72dcf39cd56d62285372b249752be1c1b8c3bedf02e70070446131
23	354250	6307840	8	8	577f62e3ba72dcf39cd56d62285372b249752be1c1b8c3bedf02e70070446131
24	364792	6324224	8	8	577f62e3ba72dcf39cd56d62285372b249752be1c1b8c3bedf02e70070446131
25	364958	6324224	8	8	577f62e3ba72dcf39cd56d62285372b249752be1c1b8c3bedf02e70070446131
26	366625	6373376	8	8	577f62e3ba72dcf39cd56d62285372b249752be1c1b8c3bedf02e70070446131
27	386583	6307840	8	8	577f62e3ba72dcf39cd56d62285372b249752be1c1b8c3bedf02e70070446131
28	365250	6422528	8	8	577f62e3ba72dcf39cd56d62285372b249752be1c1b8c3bedf02e70070446131
29	374500	6324224	8	8	577f62e3ba72dcf39cd56d62285372b249752be1c1b8c3bedf02e70070446131
30	364708	6340608	8	8	577f62e3ba72dcf39cd56d62285372b249752be1c1b8c3bedf02e70070446131
