# cand enabled arm: b9e36e285e12672f0280b60b729a3137ebee77e0a9be16dd5707d10d106dfe83  target/release/examples/attribution_baseline
corpus: 41 files (40 components + 1 shared module), runs: 3, attribution: ON
warmup resolved 40/40 components
wall_median_ms	115.16
wall_min_ms	112.54
files	40
runs	3
attribution	1
site	domain	unit	calls	amount	ns	digest	alloc_count	alloc_bytes	dealloc_bytes
workspace.normalize_canonical_id	normalization	bytes	1981	33133	0	0	0	0	0
session.hash_16	hashing	bytes	361	125385	0	0	0	0	0
session.semantic_hash	hashing	calls	40	0	0	0	0	0	0
session.compile_profile_hash	hashing	calls	400	0	0	0	0	0	0
session.parse_stable_hash	hashing	calls	41	0	0	0	0	0	0
workspace.env_hash	hashing	bytes	4	221	0	0	0	0	0
compiler.carrier_parse	parsing	bytes	40	41470	0	0	0	0	0
session.oxc_script_parse	parsing	bytes	40	41470	0	0	0	0	0
session.oxc_eval_program_parse	parsing	bytes	42	42480	0	0	0	0	0
session.retained_snapshot_reuse	parsing	calls	214	0	0	0	0	0	0
compiler.oxc_expression_parse	parsing	bytes	880	10720	0	0	0	0	0
session.indexed_ready_build	preparation	calls	8032	0	14749304	0	107924	16718557	11322219
session.shallow_file_state_build	preparation	calls	41	0	76754	0	1285	239747	3009
session.eval_env_build	preparation	calls	41	0	170706	0	1994	358753	195603
session.prepared_decl_build	preparation	calls	41	0	70750	0	1590	105309	18124
session.decl_body_lower	preparation	calls	40	0	0	0	0	0	0
scheduler.submit_request	planning	calls	41	0	0	0	0	0	0
session.publish_field_types	projection	items	40	0	946205	0	10669	883437	770379
session.macro_member_walk	projection	items	572	0	0	0	0	0	0
session.semantic_dispatch	resolution	calls	4216	0	267183921	0	602596	128551790	95790697
session.semantic_cold_build	resolution	calls	1063	0	0	0	0	0	0
session.semantic_warm_hit	resolution	calls	3153	0	0	0	0	0	0
session.resolve_decl	resolution	calls	4	0	28625	0	188	17616	14256
session.import_route_resolve	resolution	calls	160	0	6871168	0	29760	1917600	1716440
session.instantiate	inference	calls	38	0	1668420	0	6899	588966	501707
session.substitute	inference	items	38	3	0	0	0	0	0
compiler.code_transform_render	rendering	bytes	160	182310	0	0	0	0	0
compiler.template_codegen_runtime	rendering	calls	40	0	438999	0	3680	369070	372430
compiler.source_map_build	mapping	items	40	280	0	0	0	0	0
session.fact_observe	provenance	items	16917	73923	0	0	0	0	0
session.read_set_signature_build	provenance	items	5115	134470	0	0	0	0	0
session.origin_edge_record	provenance	items	694	699	0	0	0	0	0
session.source_text_copy	copying	bytes	120	124410	0	0	0	0	0
session.analysis_snapshot_copy	copying	calls	20410	0	0	0	0	0	0
runtime.unattributed_allocation	allocation	bytes	0	0	0	0	918449	144440993	183540760
session.parse_arena_used	arena	bytes	41	222728	0	0	0	0	0
session.parse_arena_capacity	arena	gauge	41	16320	0	0	0	0	0
scheduler.task_execute	task	calls	130	0	0	0	0	0	0
scheduler.task_wait	task	ns	130	122872634	0	0	0	0	0
scheduler.queue_depth	queue	gauge	130	41	0	0	0	0	0
session.cache_admit_cacheable	admission	calls	1063	0	0	0	0	0	0
session.artifact_pin_acquire	pinning	calls	41	0	0	0	0	0	0
session.artifact_pin_release	pinning	calls	41	0	0	0	0	0	0
session.component_meta_digest	digest	digest	40	0	0	7161214711717846280	0	0	0

── determinism ──
component_meta   run1= 7161214711717846280  run2= 7161214711717846280  AGREE
compiled_output  run1=                   0  run2=                   0  N/A (no observations)
