case_id	suite	source_locator	source_object	declaration_kind	disposition	provisional_owner	reason	evidence_id
SVELTE-E754CBBD728C74657D8C	compiler-errors	packages/svelte/tests/compiler-errors/samples/attribute-empty/	7900a95da64fc0ad43b56e8faed4d834158e9057	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-e754cbbd728c74657d8c:pass
SVELTE-964F53A3140A39628ED0	compiler-errors	packages/svelte/tests/compiler-errors/samples/attribute-sequence-expression-2/	0a78663b5b46bed00a80571ec5a5a9c92d107348	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-964f53a3140a39628ed0:pass
SVELTE-63A81FE668ED1E0CBE75	compiler-errors	packages/svelte/tests/compiler-errors/samples/attribute-sequence-expression/	391c30912eb8030f3343bb21bb0d4f0982420d67	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-63a81fe668ed1e0cbe75:pass
SVELTE-C49EDDA368F3E762636B	compiler-errors	packages/svelte/tests/compiler-errors/samples/attribute-unique-binding/	52363539b63e7753d8afdaa02113b72f2766aeba	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-c49edda368f3e762636b:pass
SVELTE-49172E78EBFB35BCAD58	compiler-errors	packages/svelte/tests/compiler-errors/samples/attribute-unique-class/	c8c709516a871c460fb62eb8865ca9b7803418a0	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-49172e78ebfb35bcad58:pass
SVELTE-5F237C6AEE43CA179198	compiler-errors	packages/svelte/tests/compiler-errors/samples/attribute-unique-shorthand/	14cdc5d0ef848d2e0883a2315e92ae0a51ebbf8c	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-5f237c6aee43ca179198:pass
SVELTE-C3684490855869025F9B	compiler-errors	packages/svelte/tests/compiler-errors/samples/attribute-unique-style/	0ba8194dc144b30924775ee598317a5948483808	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-c3684490855869025f9b:pass
SVELTE-9BADEB469DC68EC88EFB	compiler-errors	packages/svelte/tests/compiler-errors/samples/attribute-unique/	426f484cea42f47e8c98317a5ffff149aafebb77	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-9badeb469dc68ec88efb:pass
SVELTE-1CEDA57F531E093ED8E3	compiler-errors	packages/svelte/tests/compiler-errors/samples/catch-before-closing/	4a69b928e2442e1ed5bc0603c5c5bf6c315de0b3	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-1ceda57f531e093ed8e3:pass
SVELTE-840B69757BA306202500	compiler-errors	packages/svelte/tests/compiler-errors/samples/catch-without-await/	78d1c2539f6cae7ba49d2fb7e1fd5fd1c559d49a	sample-directory	blocked	B2/BS1	BF2 must execute/classify the sample and attach profile/product evidence.	B2-parse-facet-svelte.md#svelte-840b69757ba306202500:pass
