static	class	production_refs	test_or_bench_refs
MACRO_MEMBER_WALK_OUTER_CALLS	DEAD	0	0
RAISE_REDUCE_GRAPH_NODE_ITERATIVE_CALLS	LIVE-COUNTER	1	0
DISPATCH_OPERATOR_WITH_RECURSE_CALLS	LIVE-COUNTER	1	0
EXECUTE_COOPERATIVE_CALLS	LIVE-COUNTER	1	3
EXECUTE_COOPERATIVE_COLD_BUILDS	LIVE-COUNTER	1	0
EXECUTE_COOPERATIVE_WARM_HITS	LIVE-COUNTER	2	0
WARM_HIT_FAST_PATH_HITS	LIVE-COUNTER	3	5
MATERIALIZE_MEMO_PEEKS	DEAD	0	0
MATERIALIZE_MEMO_HITS	DEAD	0	0
MATERIALIZE_MEMO_PUBLISHES	DEAD	0	0
FAMILY_MEMO_HITS	LIVE-COUNTER	2	0
FAMILY_MEMO_MISSES	LIVE-COUNTER	1	0
EXECUTE_COOPERATIVE_BUILD_NS_TOTAL	LIVE-COUNTER	1	0
SLOT_BINDING_EXPANDED_INSTANTIATE_CALLS	LIVE-COUNTER	5	2
DISPATCH_OPERATOR_KIND_CALLS	LIVE-COUNTER	1	0
DISPATCH_OPERATOR_KIND_NS	LIVE-COUNTER	1	0
DISPATCH_OPERATOR_TOTAL_NS	LIVE-COUNTER	1	0
MATERIALIZE_TYPE_EXPR_UNTIL_STABLE_CALLS	DEAD	0	0
MATERIALIZE_TYPE_EXPR_UNTIL_STABLE_NS	DEAD	0	0
MATERIALIZE_STRUCTURE_CALLS	LIVE-COUNTER	1	0
MATERIALIZE_STRUCTURE_NS	LIVE-COUNTER	1	0
RAISE_AND_REDUCE_CALLS	DEAD	0	0
RAISE_AND_REDUCE_NS	DEAD	0	0
REDUCE_GRAPH_NODE_ITERATIVE_NS	LIVE-COUNTER	1	0
RAISE_NODE_TO_TYPE_EXPR_CALLS	DEAD	0	0
RAISE_NODE_TO_TYPE_EXPR_NS	DEAD	0	0
PRODUCE_MACRO_OBJECT_SHAPES_CALLS	DEAD	0	0
PRODUCE_MACRO_OBJECT_SHAPES_NS	DEAD	0	0
WALK_MACRO_MEMBER_TYPES_CALLS	DEAD	0	0
WALK_MACRO_MEMBER_TYPES_NS	DEAD	0	0
APPEND_REGISTRY_ENTRIES_CALLS	LIVE-COUNTER	1	0
APPEND_REGISTRY_ENTRIES_NS	LIVE-COUNTER	1	0
WALK_DEFINE_PROPS_CHECKS_CALLS	DEAD	0	0
WALK_DEFINE_PROPS_CHECKS_NS	DEAD	0	0
WALK_DEFINE_PROPS_PROJECTION_CALLS	DEAD	0	0
WALK_DEFINE_PROPS_PROJECTION_NS	DEAD	0	0
WALK_DEFINE_PROPS_PROPERTY_LOOP_CALLS	DEAD	0	0
WALK_DEFINE_PROPS_PROPERTY_LOOP_NS	DEAD	0	0
WALK_DEFINE_EMITS_ARM_CALLS	DEAD	0	0
WALK_DEFINE_EMITS_ARM_NS	DEAD	0	0
WALK_DEFINE_SLOTS_ARM_CALLS	DEAD	0	0
WALK_DEFINE_SLOTS_ARM_NS	DEAD	0	0
WATCHDOG_PROGRESS_BEAT	LIVE-WATCHDOG	0	1
WATCHDOG_DUMP_BACKTRACE_NOW	LIVE-WATCHDOG	0	1
WATCHDOG_DUMP_SERIAL	LIVE-WATCHDOG	0	0
WATCHDOG_ACTIVE	LIVE-WATCHDOG	0	0
