site	domain	unit	calls	amount	ns	digest	alloc_count	alloc_bytes	dealloc_bytes
workspace.normalize_canonical_id	normalization	bytes	11313	175101	0	0	0	0	0
session.hash_16	hashing	bytes	361	125385	0	0	0	0	0
session.semantic_hash	hashing	calls	40	0	0	0	0	0	0
session.compile_profile_hash	hashing	calls	400	0	0	0	0	0	0
session.parse_stable_hash	hashing	calls	41	0	0	0	0	0	0
workspace.env_hash	hashing	bytes	4	213	0	0	0	0	0
compiler.carrier_parse	parsing	bytes	40	41470	0	0	0	0	0
session.oxc_script_parse	parsing	bytes	40	41470	0	0	0	0	0
session.oxc_eval_program_parse	parsing	bytes	42	42480	0	0	0	0	0
session.retained_snapshot_reuse	parsing	calls	214	0	0	0	0	0	0
compiler.oxc_expression_parse	parsing	bytes	880	10720	0	0	0	0	0
session.indexed_ready_build	preparation	calls	8032	0	6982361	0	44841	9800625	4435783
session.shallow_file_state_build	preparation	calls	41	0	55166	0	1285	239747	3009
session.eval_env_build	preparation	calls	41	0	153333	0	1994	358753	195603
session.prepared_decl_build	preparation	calls	41	0	54875	0	1590	105309	18124
session.decl_body_lower	preparation	calls	40	0	0	0	0	0	0
scheduler.submit_request	planning	calls	41	0	0	0	0	0	0
session.publish_field_types	projection	items	40	0	774874	0	9588	812725	699019
session.macro_member_walk	projection	items	572	0	0	0	0	0	0
session.semantic_dispatch	resolution	calls	4216	0	204675648	0	413130	98462469	65737725
session.semantic_cold_build	resolution	calls	1063	0	0	0	0	0	0
session.semantic_warm_hit	resolution	calls	3153	0	0	0	0	0	0
session.resolve_decl	resolution	calls	4	0	13667	0	61	3552	1172
session.import_route_resolve	resolution	calls	160	0	4624082	0	29760	1917600	1716440
session.instantiate	inference	calls	38	0	1177626	0	3748	328459	233408
session.substitute	inference	items	38	3	0	0	0	0	0
compiler.code_transform_render	rendering	bytes	120	103930	0	0	0	0	0
compiler.template_codegen_runtime	rendering	calls	40	0	345542	0	3160	348710	359910
compiler.source_map_build	mapping	items	40	280	0	0	0	0	0
session.fact_observe	provenance	items	16917	73923	0	0	0	0	0
session.read_set_signature_build	provenance	items	5115	134530	0	0	0	0	0
session.origin_edge_record	provenance	items	694	699	0	0	0	0	0
session.source_text_copy	copying	bytes	120	124410	0	0	0	0	0
session.analysis_snapshot_copy	copying	calls	8194	0	0	0	0	0	0
runtime.unattributed_allocation	allocation	bytes	0	0	0	0	641917	112441160	151445198
session.parse_arena_used	arena	bytes	41	222728	0	0	0	0	0
session.parse_arena_capacity	arena	gauge	41	16320	0	0	0	0	0
scheduler.task_execute	task	calls	130	0	0	0	0	0	0
scheduler.task_wait	task	ns	130	114591498	0	0	0	0	0
scheduler.queue_depth	queue	gauge	130	41	0	0	0	0	0
session.cache_admit_cacheable	admission	calls	1063	0	0	0	0	0	0
session.artifact_pin_acquire	pinning	calls	41	0	0	0	0	0	0
session.artifact_pin_release	pinning	calls	41	0	0	0	0	0	0
session.component_meta_digest	digest	digest	40	0	0	7161214711717846280	0	0	0
